STA_SEQ,Station_Name,YLat,XLong
14434,Salmon Creek (Salmon Kill),41.9417,-73.3909
14523,Burton Brook,41.9667,-73.4341
15100,Spruce Swamp Creek,41.981954,-73.416555
15240,Hubbard Brook,42.0356,-72.9384
15244,Cobble Brook,41.7217,-73.4572
15499,West Branch Salmon Brook,41.94096,-72.834302
15796,PENDLETON HILL BROOK,41.4748,-71.8342
15801,MOUNT HOPE RIVER,41.8436,-72.1694
16046,Chidsey Brook,41.7848,-72.8624
16139,Brown Brook,41.9267,-73.2799
16274,Nonewaug River,41.6011,-73.1738
16322,Ogden Brook,41.8456,-72.4816
17534,Bride Brook,41.32329,-72.24194
18421,Mount Hope River,41.8533,-72.16559
18536,Hawleys Brook  Unnamed Tributary to,41.251918,-73.34103
18720,East Branch Eightmile River,41.427636,-72.333812
19013,Hawleys Brook Unnamed tributary,41.256504,-73.336004
19022,Comstock Brook,41.204447,-73.447964
19097,Branch Brook,41.649751,-73.088586
19141,Mill River,41.467004,-72.896607
19657,Bunnell Brook,41.786255,-72.964622
19707,Ogden Brook,41.843032,-72.474041
19711,Poland River,41.683531,-73.002932
20050,Nonewaug River,41.606372,-73.174019
